,index,0
0,18003.0,110
1,36065.0,93
2,48215.0,32
3,47013.0,26
4,36121.0,28
5,17103.0,14
6,18151.0,13
7,45025.0,18
8,36091.0,57
9,48303.0,26
10,37153.0,13
11,,1
12,42029.0,84
13,37035.0,36
14,26125.0,118
15,26161.0,40
16,16027.0,27
17,42061.0,33
18,26007.0,11
19,9013.0,30
20,24013.0,28
21,40063.0,8
22,21107.0,20
23,15003.0,109
24,30053.0,15
25,17197.0,92
26,22073.0,22
27,,1
28,25001.0,78
29,48347.0,22
30,27073.0,4
31,28057.0,13
32,13071.0,12
33,6059.0,134
34,53063.0,75
35,24005.0,83
36,,1
37,40083.0,14
38,48181.0,41
39,48029.0,174
40,40143.0,101
41,20029.0,14
42,51087.0,38
43,18141.0,104
44,21183.0,23
45,,1
46,20129.0,3
47,31061.0,6
48,47167.0,11
49,55039.0,37
50,29013.0,23
51,53033.0,233
52,36055.0,132
53,12113.0,9
54,48149.0,17
55,37171.0,33
56,54003.0,27
57,19123.0,23
58,39147.0,21
59,34003.0,84
60,42025.0,25
61,25023.0,75
62,39093.0,79
63,27053.0,196
64,51013.0,101
65,39117.0,19
66,18177.0,47
67,17167.0,86
68,,1
69,45083.0,60
70,20115.0,10
71,5119.0,62
72,45007.0,47
73,55129.0,4
74,51139.0,12
75,47157.0,169
76,1097.0,91
77,50007.0,40
78,34025.0,94
79,,1
80,22111.0,17
81,36019.0,32
82,42121.0,27
83,19013.0,32
84,37179.0,29
85,36081.0,165
86,30071.0,2
87,36069.0,29
88,8031.0,132
89,17031.0,466
90,29189.0,305
91,1081.0,12
92,39083.0,37
93,42083.0,25
94,39017.0,72
95,42017.0,114
96,26121.0,48
97,37081.0,78
98,29143.0,7
99,42099.0,18
100,55029.0,11
101,9001.0,108
102,20173.0,64
103,31109.0,38
104,42133.0,145
105,42129.0,163
106,12011.0,81
107,26163.0,156
108,21045.0,14
109,12103.0,72
110,21015.0,10
111,4013.0,143
112,39039.0,23
113,6103.0,15
114,36011.0,39
115,34007.0,65
116,39019.0,16
117,12086.0,35
118,40047.0,29
119,1049.0,28
120,32007.0,4
121,36103.0,216
122,25011.0,42
123,6037.0,621
124,,1
125,4019.0,86
126,39135.0,24
127,21185.0,7
128,6107.0,43
129,45019.0,45
130,49021.0,12
131,,1
132,48479.0,7
133,42107.0,72
134,1107.0,10
135,17061.0,14
136,39153.0,91
137,27111.0,25
138,5143.0,53
139,12115.0,29
140,36045.0,44
141,17075.0,21
142,47041.0,7
143,,1
144,17089.0,46
145,54093.0,9
146,23015.0,14
147,,1
148,54019.0,12
149,1017.0,17
150,8029.0,9
151,37069.0,14
152,12105.0,54
153,42087.0,33
154,48201.0,199
155,39095.0,103
156,26157.0,24
157,,1
158,48193.0,11
159,31143.0,6
160,21111.0,162
161,40093.0,7
162,18069.0,23
163,27123.0,62
164,6085.0,80
165,27115.0,9
166,42043.0,91
167,20117.0,16
168,5103.0,10
169,21037.0,29
170,54055.0,19
171,48305.0,2
172,,1
173,51171.0,18
174,5125.0,15
175,53061.0,53
176,19181.0,26
177,37059.0,8
178,28049.0,24
179,18137.0,9
180,31119.0,16
181,,1
182,55139.0,44
183,39061.0,186
184,,1
185,36027.0,63
186,,1
187,35001.0,42
188,,1
189,42027.0,24
190,1047.0,11
191,46005.0,10
192,37183.0,57
193,,1
194,36029.0,227
195,18107.0,31
196,39035.0,233
197,40073.0,9
198,1053.0,16
199,26055.0,23
200,26059.0,28
201,48061.0,15
202,20209.0,49
203,51015.0,23
204,24025.0,20
205,12031.0,96
206,37199.0,5
207,47105.0,7
208,,1
209,36049.0,24
210,51053.0,4
211,42071.0,164
