id,fips_code,state,cemetery,county_name,graveid,birth_year,birth_month,death_year,death_month,reached_age,female,stone_type,persons_ingrave,floral,wheat,marriage_month,marriage_year,married,familyrole,military,patriotic,occupation,picture,nonrelig_symbol,verbal_nonrelig,verbal_love,othersecular,bible,fish,dove,praying,cross,lamb,angel,verbal_relig,other_religious
1,1073,AL,Elmwood Cemetery,Jefferson2,50286018,1912,8,2002,7,89.916664,0,3,1,0,0,,,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
2,1073,AL,Elmwood Cemetery,Jefferson2,135903303,1920,5,2008,11,88.5,1,3,1,1,0,,,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
3,1073,AL,Elmwood Cemetery,Jefferson2,191385033,1921,12,2000,2,78.166664,0,3,1,0,0,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,1073,AL,Elmwood Cemetery,Jefferson2,156928106,1922,1,2002,3,80.166664,0,3,1,0,0,,,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
5,1073,AL,Elmwood Cemetery,Jefferson2,172493807,1926,7,2015,7,89,0,3,1,0,0,,,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
6,1073,AL,Elmwood Cemetery,Jefferson2,156327816,1905,11,2001,8,95.75,0,3,1,0,0,,,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0
7,1073,AL,Elmwood Cemetery,Jefferson2,64276544,1925,3,2000,8,75.416664,0,3,1,0,0,,,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0
8,1073,AL,Elmwood Cemetery,Jefferson2,173463655,1949,8,2010,3,60.583332,0,3,1,0,0,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
9,1073,AL,Elmwood Cemetery,Jefferson2,124862899,1922,10,2014,2,91.333336,0,3,1,0,0,,,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
10,1073,AL,Elmwood Cemetery,Jefferson2,113625377,1910,7,2009,2,98.583336,1,3,1,0,0,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11,1073,AL,Elmwood Cemetery,Jefferson2,122003200,1943,,2013,12,70,1,3,1,0,0,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12,1073,AL,Elmwood Cemetery,Jefferson2,194031425,1945,2,2013,9,68.583336,0,3,1,0,0,,,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
