FIPS,COUNT,TOT_POP,CAPITA
15005,1,90,0.0111111111
48345,8,1202,0.006655574
29041,46,7649,0.006013858
20157,29,4858,0.0059695348
20089,18,3046,0.0059093894
29227,12,2079,0.0057720058
29129,21,3729,0.0056315366
29103,22,4082,0.0053895149
19185,34,6344,0.0053593947
20183,20,3765,0.005312085
20033,10,1913,0.0052273915
31133,14,2765,0.0050632911
29211,33,6546,0.0050412466
31015,10,2054,0.0048685492
20049,13,2720,0.0047794118
38083,6,1266,0.0047393365
29197,20,4370,0.004576659
38091,9,1989,0.0045248869
48045,7,1561,0.0044843049
51091,10,2245,0.004454343
20003,35,7917,0.0044208665
40003,25,5666,0.0044122838
20105,14,3174,0.0044108381
48197,18,4082,0.0044096031
20165,14,3220,0.0043478261
20207,14,3278,0.0042708969
19107,43,10374,0.0041449778
48311,3,726,0.0041322314
31083,14,3410,0.0041055718
20123,26,6355,0.0040912667
31077,10,2458,0.0040683483
31011,22,5417,0.0040612885
27155,14,3451,0.0040567951
17171,21,5290,0.0039697543
48191,13,3293,0.003947768
17065,33,8370,0.0039426523
48333,19,4828,0.003935377
19073,36,9153,0.0039331367
31117,2,509,0.0039292731
19159,20,5096,0.0039246468
31009,2,514,0.0038910506
48129,14,3598,0.0038910506
19173,24,6208,0.0038659794
38037,9,2333,0.003857694
29205,24,6234,0.0038498556
20039,11,2871,0.0038314176
48155,5,1307,0.0038255547
20201,22,5758,0.0038207711
29005,21,5517,0.0038064165
38027,9,2368,0.0038006757
17153,22,5998,0.0036678893
46105,11,3037,0.0036219954
46021,5,1396,0.0035816619
48119,19,5329,0.0035653969
20043,28,7864,0.003560529
48207,21,5901,0.0035587189
17079,34,9614,0.0035365093
41069,5,1424,0.003511236
29199,17,4877,0.0034857494
19001,26,7481,0.0034754712
30079,4,1157,0.0034572169
40141,27,7822,0.0034518026
38095,8,2318,0.0034512511
31061,11,3188,0.0034504391
29171,17,4931,0.0034475766
40129,13,3774,0.0034446211
46111,8,2324,0.0034423408
48275,13,3789,0.0034309844
20141,13,3806,0.0034156595
31115,2,589,0.0033955857
20117,34,10022,0.0033925364
19071,24,7147,0.0033580523
19135,27,8063,0.0033486295
38019,13,3948,0.0032928065
20017,9,2757,0.0032644178
31065,16,4907,0.0032606481
20073,21,6454,0.0032537961
48307,27,8313,0.0032479249
