,index,0
0,USA,376210
1,Ireland,623
2,Australia,5275
3,Canada,14140
4,,42778
5,Scotland,1720
6,England,6477
7,Philippines,551
8,Estonia,63
9,Wales,325
10,Netherlands,265
11,Kosovo,2
12,Turkey,48
13,South Africa,191
14,New Zealand,1204
15,Germany,1489
16,Italy,332
17,Austria,145
18,Czech Republic,60
19,Northern Ireland,156
20,Hungary,55
21,Poland,141
22,Denmark,54
23,Belgium,1009
24,Costa Rica,19
25,Spain,35
26,Slovenia,92
27,Croatia,25
28,Isle of Man,16
29,Slovakia,49
30,Botswana,1
31,Sweden,198
32,Luxembourg,47
33,Martinique,4
34,Norway,149
35,Brazil,23
36,Trinidad And Tobago,7
37,Belize,19
38,Portugal,18
39,Mexico,42
40,Finland,232
41,Bailiwick of Jersey,27
42,Lithuania,44
43,France,1543
44,Argentina,20
45,Switzerland,70
46,Ukraine,17
47,Guam,79
48,Cape Verde,17
49,Tajikistan,1
50,Romania,27
51,Caribbean Netherlands,5
52,Grenada,5
53,Latvia,18
54,Namibia,8
55,Norfolk Island,5
56,Malta,28
57,Israel,14
58,Greece,40
59,Cuba,13
60,Japan,21
61,Iceland,8
62,Northern Mariana Islands,5
63,Bahamas,21
64,Bermuda,17
65,Bailiwick of Guernsey,6
66,Saint Barthélemy,2
67,India,22
68,Hong Kong,38
69,Mauritius,1
70,Iraq,15
71,Guatemala,1
72,Russia,38
73,Moldova,1
74,Serbia,4
75,Thailand,23
76,Colombia,1
77,Zimbabwe,4
78,Cayman Islands,16
79,Antigua And Barbuda,4
80,Samoa,1
81,Falkland Islands,1
82,Faroe Islands,2
83,Chile,3
84,Georgia,2
85,West Bank,3
86,South Korea,4
87,Dominica,2
88,Cyprus,2
89,U.S. Virgin Islands,12
90,Iran,3
91,Kenya,2
92,Sri Lanka,6
93,Singapore,39
94,Cook Islands,1
95,Bulgaria,2
96,Pakistan,3
97,Malaysia,15
98,Panama,8
99,Lebanon,3
100,Montenegro,1
101,Egypt,15
102,Madagascar,3
103,Indonesia,6
104,Papua New Guinea,7
105,Gibraltar,3
106,Barbados,5
107,Peru,1
108,Vatican City,2
109,Dominican Republic,1
110,Uruguay,21
111,Tanzania,2
112,Myanmar,3
113,Paraguay,1
114,Tunisia,19
115,Syria,1
116,Saint Lucia,5
117,Libya,5
118,Liechtenstein,2
119,Algeria,2
120,Bahrain,2
121,Gaza Strip,2
122,Monaco,2
123,Venezuela,1
124,Sint Maarten,1
125,Saint Vincent And The Grenadin,1
126,United Arab Emirates,1
127,Jamaica,16
128,Bolivia,1
129,Seychelles,1
130,Svalbard,3
131,Azerbaijan,2
132,New Caledonia,2
133,Curaçao,2
134,Morocco,2
135,China,3
136,Saint Martin,1
137,Belarus,1
138,Armenia,1
