fip,rel_adh
1001,58.484375
1003,48.598766
1005,41.088684
1007,
1009,57.498924
1011,23.128103
1013,49.586449
1015,64.516457
1017,50.654221
1019,
1021,64.553749
1023,50.41869
1025,58.093666
1027,73.112595
1029,
1031,65.12146
1033,64.611511
1035,
1037,
1039,64.446304
1041,
1043,74.239784
1045,45.769466
1047,43.918476
1049,57.493378
1051,44.959023
1053,52.301903
1055,70.93306
1057,57.508759
1059,62.649708
1061,60.529274
1063,17.91029
1065,37.660748
1067,
1069,70.396591
1071,49.644905
1073,61.915977
1075,
1077,55.790489
1079,50.720211
1081,34.074066
1083,50.978703
1085,
1087,17.906086
1089,49.93507
1091,56.192089
1093,59.421101
1095,64.611053
1097,51.567883
1099,47.998848
1101,48.831734
1103,62.457184
1105,
1107,58.437035
1109,43.95224
1111,49.331654
1113,49.165779
1115,47.514374
1117,43.216888
1119,25.837463
1121,49.0373
1123,59.267315
1125,47.429619
1127,62.003254
1129,48.970207
1131,34.049057
1133,59.216969
2013,
2016,7.4970093
2020,27.79859
2050,36.283787
2060,
2068,
2070,27.189295
2090,24.99015
2100,31.13763
2110,21.97131
2122,22.01086
2130,28.052647
2150,17.035608
2164,
2170,23.153095
2180,46.062519
2185,18.389822
2188,34.503143
2201,
2220,27.932606
2231,
2232,
2240,20.318913
2261,19.901571
2270,
2280,
2282,
2290,58.051086
4001,32.002869
4003,34.525902
4005,18.10471
4007,32.234001
4009,32.401409
4011,57.961098
4012,18.704952
4013,31.21925
4015,20.940861
4017,19.73856
4019,37.343124
4021,23.066349
4023,50.952385
4025,23.187809
4027,33.674652
5001,67.740082
5003,76.294952
5005,49.485516
5007,49.704933
5009,63.278912
5011,65.952095
5013,
5015,40.197803
5017,45.070862
5019,64.381058
5021,49.714497
5023,45.923794
5025,
5027,51.502087
5029,49.50338
5031,58.890633
5033,50.714233
5035,40.205433
5037,70.846039
5039,63.562233
5041,58.220764
5043,61.456654
5045,50.557789
5047,45.177574
5049,
5051,53.900368
5053,62.526634
5055,58.003113
5057,45.099613
5059,50.353218
5061,56.403931
5063,59.933617
5065,51.6562
5067,55.035439
5069,45.618252
5071,46.081535
5073,
5075,56.795143
5077,31.916248
5079,35.065723
5081,53.72633
5083,75.372864
5085,49.236542
5087,34.793003
5089,35.683044
5091,59.891335
5093,60.903221
5095,57.625023
5097,47.432945
5099,
5101,
5103,61.09444
5105,42.673637
5107,38.702385
5109,56.908375
5111,66.962158
5113,54.467468
5115,46.836414
5117,57.666645
5119,53.803844
5121,56.98661
5123,41.921459
5125,44.700508
5127,55.90678
5129,
5131,66.513687
5133,58.958839
5135,64.346512
5137,48.246075
5139,65.173355
5141,47.301117
5143,51.44912
5145,59.049706
5147,49.783157
5149,48.713188
6001,27.788397
6003,
6005,20.755745
6007,25.929302
6009,40.862267
6011,39.613007
6013,33.108803
6015,24.736507
6017,23.614328
6019,45.648933
6021,39.011543
6023,25.695988
6025,48.6618
6027,47.619812
6029,42.39909
6031,45.372601
6033,25.088367
6035,16.20586
6037,48.219055
6039,39.390148
6041,30.803064
6043,45.364063
6045,27.994385
6047,50.14344
6049,13.821136
6051,55.33363
6053,43.572956
6055,41.298664
6057,28.652416
6059,39.874722
6061,32.669643
6063,22.270794
6065,39.369267
6067,30.784664
6069,64.777
6071,36.935741
6073,38.520302
6075,28.833771
6077,37.013554
6079,44.773125
6081,38.308769
6083,47.363537
