,COUNTRY,GDP (BILLIONS),CODE,GRAVES,POP,RATIO
0,Afghanistan,21.71,AFG,,,
1,Albania,13.4,ALB,,,
2,Algeria,227.8,DZA,2,42200000,4.739336492891E-08
3,American Samoa,0.75,ASM,,,
4,Andorra,4.8,AND,,,
5,Angola,131.4,AGO,,,
6,Anguilla,0.18,AIA,,,
7,Antigua and Barbuda,1.24,ATG,4,96453,0.000041471
8,Argentina,536.2,ARG,20,44780677,4.46621206731645E-07
9,Armenia,10.88,ARM,1,2957731,3.38097007469577E-07
10,Aruba,2.52,ABW,,,
11,Australia,1483,AUS,5275,25203198,0.0002092988
12,Austria,436.1,AUT,145,8955102,1.61918870382493E-05
13,Azerbaijan,77.91,AZE,2,10027874,1.99444069600396E-07
14,"Bahamas, The",8.65,BHM,21,389482,5.39177677017166E-05
15,Bahrain,34.05,BHR,2,1543000,1.29617627997408E-06
16,Bangladesh,186.6,BGD,,,
17,Barbados,4.28,BRB,5,287025,1.74200853584183E-05
18,Belarus,75.25,BLR,1,9458840,1.05721208943169E-07
19,Belgium,527.8,BEL,1009,11539328,8.74401004980533E-05
20,Belize,1.67,BLZ,19,390353,4.86738926048986E-05
21,Benin,9.24,BEN,,,
22,Bermuda,5.2,BMU,17,62506,0.0002719739
23,Bhutan,2.09,BTN,,,
24,Bolivia,34.08,BOL,1,11469000,8.71915598570058E-08
25,Bosnia and Herzegovina,19.55,BIH,,,
26,Botswana,16.3,BWA,1,2338800,4.27569693860099E-07
27,Brazil,2244,BRA,23,211049527,0.000000109
28,British Virgin Islands,1.1,VGB,,,
29,Brunei,17.43,BRN,,,
30,Bulgaria,55.08,BGR,2,7000039,2.8571269388642E-07
31,Burkina Faso,13.38,BFA,,,
32,Burma,65.29,MMR,3,54045420,5.55088664312351E-08
33,Burundi,3.04,BDI,,,
34,Cabo Verde,1.98,CPV,17,549935,3.09127442334094E-05
35,Cambodia,16.9,KHM,,,
36,Cameroon,32.16,CMR,,,
37,Canada,1794,CAN,14140,37411047,0.0003779632
38,Cayman Islands,2.25,CYM,16,64948,0.0002463509
39,Central African Republic,1.73,CAF,,,
40,Chad,15.84,TCD,,,
41,Chile,264.1,CHL,3,18952038,1.58294321697751E-07
42,China,10360,CHN,3,1433783686,2.09236583544165E-09
43,Colombia,400.1,COL,1,48258000,2.07219528368353E-08
44,Comoros,0.72,COM,,,
45,"Congo, Democratic Republic of the",32.67,COD,,,
46,"Congo, Republic of the",14.11,COG,,,
47,Cook Islands,0.18,COK,1,15200,6.57894736842105E-05
48,Costa Rica,50.46,CRI,19,5047561,3.76419423162989E-06
49,Cote d'Ivoire,33.96,CIV,,,
50,Croatia,57.18,HRV,25,4130304,6.05282323044502E-06
51,Cuba,77.15,CUB,13,11333483,0.000001147
