graveid,book,handsinprayer,cross,angel,type_stone,type_stele,type_badge,type_other
173560449,0,0,0,0,0,0,1,0
153181731,0,0,1,0,0,0,1,0
106617866,0,0,1,0,0,0,1,0
170597802,0,0,0,0,0,0,1,0
139464562,0,0,0,0,0,0,1,0
173611675,0,0,1,0,0,0,1,0
124529927,0,0,0,0,0,0,1,0
187314004,0,1,0,0,0,0,1,0
99089160,0,0,1,0,0,0,1,0
16126337,0,0,0,0,0,0,1,0
156927839,0,0,1,0,0,0,1,0
156240669,0,0,1,0,0,0,1,0
165239449,0,0,0,0,0,0,1,0
106978988,0,0,1,0,0,0,1,0
12656147,0,0,1,0,0,0,1,0
151263128,0,0,0,0,0,0,1,0
156241251,0,0,1,0,0,0,1,0
86698150,0,0,0,0,0,0,1,0
172418470,0,0,0,0,0,0,0,1
145116946,0,0,0,0,0,0,1,0
149805921,0,0,0,0,0,0,1,0
106386325,0,0,0,0,0,0,1,0
69253040,0,0,0,0,0,0,1,0
169773008,0,0,0,0,0,0,1,0
135903303,0,0,0,0,0,0,1,0
11915482,0,0,1,0,0,0,1,0
122003200,0,0,0,0,0,0,1,0
92176481,0,0,0,0,0,0,1,0
48990679,0,0,0,0,0,0,1,0
106784613,0,0,0,0,0,0,1,0
159152469,0,0,0,0,0,0,1,0
176328637,0,0,0,0,0,0,1,0
84643014,0,0,0,0,0,0,1,0
82438506,0,0,0,0,0,0,1,0
93448032,0,0,0,0,0,0,1,0
173463655,0,0,1,0,0,0,1,0
75644665,0,0,1,0,0,0,1,0
86610219,0,0,0,0,0,0,1,0
187013509,0,0,0,0,0,0,1,0
120421376,0,0,0,0,0,0,1,0
172420113,0,0,0,0,0,0,1,0
92688203,0,0,0,0,0,0,1,0
91172549,0,0,0,0,0,0,1,0
173560947,0,0,0,0,0,0,1,0
69948915,0,0,0,0,1,0,0,0
172493807,0,0,1,0,0,0,1,0
152168114,0,0,0,0,0,0,1,0
185913840,0,0,1,0,0,0,1,0
49881443,0,0,0,0,0,0,1,0
42978624,0,0,1,0,0,0,1,0
86698292,0,0,0,0,0,0,1,0
135621408,0,0,1,0,0,0,1,0
186410499,0,0,0,0,0,0,1,0
106939902,0,0,0,0,0,0,1,0
176987352,0,0,1,0,0,0,1,0
42142324,0,0,0,0,0,0,1,0
50286018,0,0,1,0,0,0,1,0
148000056,0,0,1,0,0,0,1,0
35417473,0,0,0,0,0,0,1,0
147500029,0,0,0,0,0,0,1,0
147891911,0,0,1,0,0,0,1,0
64276796,0,0,1,0,0,0,1,0
174339517,0,0,1,0,0,0,1,0
179146522,0,0,0,0,0,0,1,0
176461173,0,0,0,0,0,0,1,0
126606133,0,0,0,0,0,0,1,0
64276544,0,0,0,0,0,0,1,0
126723157,0,0,0,0,0,0,1,0
123763376,0,0,0,0,0,0,1,0
156927839,0,0,1,0,0,0,1,0
146031899,0,0,1,0,0,0,1,0
65700819,0,0,1,0,0,0,1,0
64263126,0,0,1,0,0,0,1,0
113625377,0,0,0,0,0,0,1,0
176302812,0,0,0,0,0,0,1,0
116289260,1,0,0,0,1,0,0,0
155905142,0,0,0,0,0,0,1,0
173708619,0,0,1,0,0,0,1,0
44795718,0,0,0,0,0,0,1,0
39214294,0,0,0,0,0,0,1,0
25729674,0,0,0,0,1,0,0,0
135700970,0,0,0,0,0,0,1,0
58491868,0,0,0,0,0,0,1,0
183548224,0,0,0,0,0,0,1,0
113976188,0,0,1,0,0,0,1,0
110935038,0,0,0,0,0,0,1,0
186769688,0,0,0,0,0,0,1,0
65874754,0,0,0,0,0,0,1,0
50285750,0,0,1,0,0,0,1,0
156088719,0,0,0,0,0,0,1,0
117547968,0,0,0,0,0,0,1,0
144642992,0,0,0,0,0,0,1,0
67367548,0,0,0,0,0,0,1,0
112298786,0,0,1,0,0,0,1,0
110864576,0,0,1,0,0,0,1,0
155914457,0,0,0,0,0,0,1,0
170181492,0,0,1,0,0,0,1,0
156327816,0,1,0,0,0,0,1,0
120210816,0,0,0,0,0,0,1,0
149546678,0,0,0,0,0,0,1,0
142227563,0,0,0,0,0,0,1,0
97989790,0,0,0,0,1,0,0,0
29003792,0,0,0,0,0,0,1,0
127215316,0,0,0,0,0,0,1,0
107784528,0,0,0,0,0,1,0,0
107671983,0,0,1,0,0,0,1,0
103679144,0,0,0,0,0,0,1,0
107264703,0,0,0,0,0,0,1,0
29005557,0,0,0,0,0,0,1,0
115913954,0,0,0,0,1,0,0,0
53363100,0,0,0,0,1,0,0,0
29013956,0,0,0,0,0,0,1,0
110020820,0,0,0,0,0,0,1,0
29003517,0,0,0,0,1,0,0,0
29014032,0,0,1,0,0,0,1,0
84196918,0,0,0,0,1,0,0,0
116242240,1,0,0,0,1,0,0,0
126068832,0,0,0,0,0,0,1,0
29005592,1,0,0,0,0,0,1,0
105996625,0,0,0,0,0,0,1,0
105975490,0,0,1,0,0,0,1,0
29005581,0,0,1,0,1,0,0,0
127603868,0,0,0,0,0,0,1,0
105975126,0,0,1,0,0,0,1,0
29005592,1,0,0,0,0,0,1,0
29013406,0,0,0,1,0,0,1,0
179093624,0,0,0,0,0,0,1,0
115915302,0,0,0,0,0,0,1,0
29001274,0,0,0,0,0,0,1,0
28997333,0,0,0,0,1,0,0,0
90742347,0,0,1,0,0,0,1,0
28998842,0,0,0,0,0,0,1,0
108301724,0,0,0,0,0,0,1,0
90950812,0,0,0,0,0,0,1,0
28998619,0,0,0,0,0,0,1,0
46764260,0,0,0,0,1,0,0,0
129461025,0,0,1,0,0,0,1,0
29005601,0,0,0,0,0,0,1,0
29013279,0,0,0,0,0,0,1,0
99709041,0,0,0,0,0,0,1,0
29013212,0,0,1,0,0,0,1,0
29013902,0,0,0,0,1,0,0,0
127093842,0,0,0,0,0,0,1,0
28997222,0,0,0,0,0,0,1,0
28999064,0,0,0,0,0,0,1,0
37571047,0,0,0,0,0,0,1,0
169047339,0,0,0,0,1,0,0,0
29013241,0,0,0,0,1,0,0,0
126129617,0,0,1,0,0,0,1,0
86953798,0,0,0,0,1,0,0,0
28999085,0,0,1,0,1,0,0,0
169197827,0,0,0,0,0,0,0,1
86953798,0,0,0,0,1,0,0,0
58895992,1,0,0,0,0,0,1,0
116791962,0,0,0,0,0,0,1,0
116241246,0,0,0,0,1,0,0,0
115911867,1,0,0,0,1,0,0,0
115911867,1,0,0,0,1,0,0,0
129461025,0,0,1,0,0,0,1,0
115915385,0,0,1,0,0,0,1,0
115914019,0,1,1,0,1,0,0,0
29003819,1,0,0,0,0,0,1,0
142227563,0,0,0,0,0,0,1,0
145866157,0,0,0,0,0,0,1,0
169196004,0,0,0,0,0,0,1,0
22606704,0,0,0,0,0,0,1,0
29003825,0,0,0,0,0,0,1,0
28998519,0,0,0,0,0,0,1,0
142896641,0,0,0,0,0,0,1,0
107767162,0,0,1,0,0,0,1,0
126119191,0,0,1,0,0,0,1,0
90741774,0,0,1,0,0,0,1,0
107766942,0,0,0,0,0,0,1,0
28999085,0,0,1,0,1,0,0,0
90716810,0,0,0,0,0,0,1,0
182942285,0,0,0,0,1,0,0,0
29013952,1,0,0,0,0,0,1,0
29013687,0,0,0,0,0,0,1,0
29013588,0,0,0,1,0,0,1,0
107787442,0,0,0,1,0,0,1,0
29001654,0,0,1,0,0,0,1,0
28998679,0,0,0,0,0,0,1,0
143126348,0,0,0,0,0,0,1,0
126117844,0,0,0,0,0,0,1,0
107996155,0,0,1,0,0,0,1,0
115915119,0,0,1,0,0,0,1,0
29003792,0,0,0,0,0,0,1,0
115914460,0,0,0,0,1,0,0,0
29001672,0,0,1,0,0,0,1,0
29013206,0,0,0,0,0,0,1,0
116242180,0,0,0,0,1,0,0,0
44172925,0,0,1,0,0,0,1,0
134536543,0,0,0,0,0,0,1,0
116917069,0,0,0,0,0,0,1,0
104540059,0,0,0,0,1,0,0,0
95515483,1,0,0,0,0,0,1,0
116785217,0,0,0,0,0,0,1,0
29003297,0,0,0,0,0,0,1,0
28998489,1,0,0,0,0,0,1,0
29001214,0,0,0,0,0,0,1,0
76749604,0,0,0,0,0,0,1,0
76857048,0,0,0,0,0,0,1,0
76674645,0,1,0,0,0,0,1,0
136628013,0,0,1,0,0,0,1,0
73429766,0,0,0,0,0,0,1,0
76749526,0,0,0,0,0,0,1,0
76674671,0,0,0,0,0,0,1,0
111116376,1,0,0,0,0,0,1,0
76674697,0,0,0,0,0,0,1,0
76857051,0,0,1,0,0,0,1,0
83928995,0,0,0,0,0,0,1,0
134601954,1,0,1,0,0,0,1,0
76674691,0,0,0,0,0,0,1,0
76856960,0,0,0,0,0,0,1,0
82493061,0,0,1,0,0,0,1,0
76857002,0,0,0,0,0,0,1,0
90501410,0,0,0,0,0,0,1,0
76749414,0,0,1,0,0,0,1,0
96429730,0,0,1,0,0,0,1,0
182396851,0,0,0,0,0,0,1,0
90458055,0,0,1,0,0,0,1,0
96677704,0,0,1,0,0,0,1,0
32038411,0,0,1,0,0,0,1,0
76674665,0,0,1,0,0,0,1,0
50646014,0,0,1,0,0,0,1,0
73442111,0,0,0,0,0,0,1,0
76749449,0,0,1,0,0,0,1,0
136627668,0,0,0,0,0,0,1,0
76857022,0,0,0,0,0,0,1,0
76674716,0,0,1,0,0,0,1,0
76674765,1,0,0,0,0,0,1,0
76749501,0,0,0,0,0,0,1,0
76856986,1,0,0,0,0,0,1,0
76749505,0,0,0,0,0,0,1,0
76749543,0,0,0,0,0,0,1,0
76805467,0,0,1,0,0,0,1,0
76856882,0,1,0,0,0,0,1,0
76856987,0,0,1,0,0,0,1,0
80821552,0,0,0,0,0,0,1,0
110619120,0,0,1,0,0,0,1,0
129821805,0,0,0,0,0,0,1,0
76795716,0,0,0,0,0,0,1,0
116079983,0,1,0,0,0,0,1,0
90458354,0,0,0,0,0,0,1,0
76795716,0,0,0,0,0,0,1,0
181951565,0,0,0,0,0,0,1,0
76749276,1,0,0,0,0,0,1,0
182396851,0,0,0,0,0,0,1,0
76856863,0,0,1,0,0,0,1,0
76749722,0,0,0,0,0,0,1,0
50072892,0,0,0,0,0,0,1,0
29976289,0,0,1,0,0,0,1,0
69404220,0,0,1,0,0,0,1,0
76749373,0,0,0,0,0,0,1,0
76749659,0,0,0,0,0,0,1,0
183095043,0,0,0,0,0,0,1,0
106027180,0,0,1,1,0,0,1,0
53535835,0,0,1,0,0,0,1,0
96383293,0,0,1,0,0,0,1,0
76795703,1,0,1,0,0,0,1,0
76856870,0,0,1,0,0,0,1,0
76857054,0,0,0,0,0,0,1,0
80821832,0,0,0,0,0,0,1,0
113684099,0,0,1,0,0,0,1,0
76749432,0,0,1,0,0,0,1,0
76674695,0,0,1,0,0,0,1,0
76749528,0,0,0,0,0,0,1,0
182923043,0,0,0,0,0,0,1,0
50214443,0,0,0,0,0,0,1,0
76674683,0,0,0,0,0,0,1,0
76749334,0,0,0,0,0,0,1,0
76674731,0,0,0,0,0,0,1,0
182923069,0,0,0,0,0,0,1,0
169012043,0,0,1,0,0,0,1,0
76674650,0,0,1,0,0,0,1,0
73429766,0,0,0,0,0,0,1,0
183088072,0,0,0,0,0,0,1,0
76674648,0,0,1,0,0,0,1,0
136629683,1,0,0,0,0,0,1,0
110619494,0,0,0,0,0,0,1,0
76805463,0,0,0,0,0,0,1,0
76674749,0,0,0,0,0,0,1,0
76856984,0,0,0,0,0,0,1,0
76795690,0,0,0,0,0,0,1,0
76674659,0,0,1,0,0,0,1,0
76805506,0,0,0,0,0,0,1,0
183103552,0,0,0,0,0,0,1,0
183121404,0,0,0,0,0,0,1,0
33538183,1,0,0,0,0,0,1,0
104718166,0,0,0,0,0,0,1,0
76674691,0,0,0,0,0,0,1,0
169922137,0,0,0,0,0,0,1,0
132793676,0,0,0,0,0,0,1,0
76856868,1,0,0,0,0,0,1,0
134601954,1,0,1,0,0,0,1,0
76749378,1,0,0,0,0,0,1,0
105018503,0,0,0,0,0,0,1,0
76674649,0,0,0,0,0,0,1,0
33535639,0,0,0,0,0,0,1,0
113684099,0,0,1,0,0,0,1,0
181951114,0,0,0,0,0,0,1,0
66265387,0,0,0,0,0,0,1,0
120260911,0,0,0,0,0,0,1,0
178509738,0,0,0,0,0,0,1,0
122624263,0,0,1,0,0,0,1,0
142445183,0,0,0,0,0,0,1,0
113453555,0,0,0,0,0,0,1,0
108440759,0,0,0,0,0,0,1,0
99139141,0,0,0,0,0,0,1,0
140166951,0,0,1,0,0,0,1,0
122642808,0,0,0,0,0,0,1,0
27975294,0,0,1,0,0,0,1,0
163940194,0,0,0,0,0,0,1,0
183679002,0,0,0,0,0,0,1,0
183847549,0,0,0,0,0,0,1,0
115611880,0,0,0,0,0,0,1,0
142063608,0,0,0,0,0,0,1,0
183683207,0,0,0,0,0,0,1,0
143364179,0,0,0,0,0,0,1,0
122344329,0,0,0,1,0,0,1,0
143100812,0,0,0,0,0,0,1,0
111014835,0,0,0,0,0,0,1,0
144008933,0,0,0,0,0,0,1,0
125351440,0,0,0,0,0,0,1,0
144007265,0,0,0,0,0,0,1,0
121184986,0,0,0,0,0,0,1,0
143996206,0,0,0,0,0,0,1,0
138995594,0,0,0,0,0,0,1,0
182045841,0,0,0,0,0,0,1,0
143437950,0,0,0,0,0,0,1,0
62266437,0,0,1,0,0,0,1,0
179514430,0,0,0,0,0,0,1,0
183736594,0,0,0,0,0,0,1,0
140671800,0,1,1,0,1,0,0,0
122742237,0,0,0,0,0,0,1,0
121475114,0,0,1,0,1,0,0,0
125311878,0,0,0,0,0,0,1,0
182021321,0,0,1,0,0,0,1,0
122988802,0,0,0,0,0,0,1,0
177969876,0,0,0,0,0,0,1,0
47998608,0,0,0,0,0,0,1,0
182623035,1,0,0,0,0,0,1,0
142893853,0,0,0,0,0,0,1,0
142988272,0,0,0,0,0,0,1,0
32462361,0,0,0,0,0,0,1,0
182808174,0,0,0,0,0,0,1,0
144720879,1,0,0,0,0,0,1,0
182814387,0,0,0,0,0,0,1,0
143996206,0,0,0,0,0,0,1,0
87429760,0,0,1,0,0,0,1,0
144716214,0,0,0,0,0,0,1,0
183802488,1,0,0,0,0,0,1,0
112468376,0,0,0,0,0,0,1,0
122742372,0,0,0,0,0,0,1,0
49646894,0,0,1,0,0,0,1,0
167251111,0,0,1,0,0,0,1,0
183075850,0,0,0,0,0,0,1,0
122717322,0,0,0,0,1,0,0,0
184054290,0,0,0,0,0,0,1,0
182030269,0,0,0,0,0,0,1,0
143375040,0,0,0,0,0,0,1,0
122348689,0,0,0,0,1,0,0,0
141621834,0,0,0,0,0,0,1,0
139901211,0,0,0,0,0,0,1,0
181876428,0,0,0,0,0,0,1,0
143302846,0,0,0,0,0,0,1,0
183959742,0,0,0,0,0,0,1,0
159607390,0,0,0,0,0,0,1,0
11723769,0,0,0,0,0,0,1,0
12118670,0,0,0,0,0,0,1,0
116189592,0,0,0,0,0,0,1,0
144714169,0,0,1,0,0,0,1,0
122894463,0,0,1,0,0,0,1,0
122363703,0,0,1,0,0,0,1,0
118134755,0,0,0,0,0,0,1,0
181805329,0,0,0,0,0,0,1,0
141100206,0,0,1,0,0,0,1,0
122828318,0,0,0,0,1,0,0,0
180893460,0,0,0,0,0,0,1,0
61791309,0,0,0,0,0,0,1,0
102472033,0,0,0,0,0,0,1,0
182349477,0,0,0,0,0,0,1,0
143445334,0,0,0,0,0,0,1,0
11743747,0,0,0,0,0,0,1,0
182388801,0,0,0,0,0,0,1,0
128136503,0,0,1,0,0,0,1,0
178227408,0,0,0,0,0,0,1,0
112468376,0,0,0,0,0,0,1,0
89520362,0,0,0,0,0,0,1,0
179599622,0,0,1,0,0,0,1,0
181395602,0,0,0,0,0,0,1,0
138510855,0,0,0,0,1,0,0,0
84307929,0,0,0,0,0,0,1,0
143356173,0,1,0,0,0,0,1,0
66201531,0,0,0,0,0,0,1,0
179606151,0,0,0,0,0,0,1,0
123029673,1,0,1,0,0,0,1,0
36414523,0,0,0,0,0,0,1,0
122828318,0,0,0,0,1,0,0,0
139356350,0,0,0,0,0,0,1,0
96596482,0,0,0,0,0,0,1,0
155152131,1,0,1,0,0,0,0,1
19418218,0,0,0,0,0,0,1,0
80047933,0,0,0,0,0,0,1,0
18939194,0,0,0,0,0,0,1,0
18870207,0,0,0,0,0,0,1,0
118161162,0,0,0,0,0,0,1,0
19689100,0,0,0,0,1,0,0,0
133220242,0,0,0,0,0,0,1,0
19483508,0,0,0,0,0,0,1,0
100187169,0,0,0,0,0,0,1,0
19673992,0,0,0,0,0,0,1,0
100541628,0,0,0,0,0,0,1,0
22580595,0,0,1,0,1,0,0,0
19442654,0,0,0,0,0,0,1,0
129817495,0,0,0,0,0,0,1,0
101836184,0,0,0,0,0,0,1,0
133220240,0,0,1,0,0,0,1,0
121857177,0,0,0,0,0,0,1,0
127403959,0,0,0,0,0,0,1,0
125811197,0,0,0,0,0,0,1,0
19677865,0,0,0,0,1,0,0,0
19418218,0,0,0,0,0,0,1,0
19677905,0,0,1,0,0,0,1,0
101983791,0,0,0,0,0,0,1,0
126996229,0,0,0,0,0,0,1,0
125818378,0,0,0,0,0,0,1,0
127000024,0,0,0,0,0,0,1,0
186599486,0,0,0,0,0,0,0,1
133220292,0,0,0,0,0,0,1,0
131946317,0,0,0,0,1,0,0,0
75793321,0,0,1,0,0,0,1,0
127403947,0,0,0,0,0,0,1,0
100188746,0,0,1,0,0,0,1,0
150792038,0,0,1,0,0,0,1,0
133220240,0,0,1,0,0,0,1,0
21103226,0,0,0,0,0,0,1,0
23995105,0,0,0,0,0,0,1,0
129910713,0,0,0,0,0,0,1,0
18870396,0,0,0,0,0,0,1,0
23890817,0,0,0,0,0,0,1,0
142874823,0,0,1,0,0,0,1,0
133220297,0,0,0,0,0,0,1,0
18911236,0,0,1,0,0,0,1,0
19485352,0,0,0,0,0,0,1,0
114631594,0,0,0,0,0,0,1,0
76951271,0,0,1,0,0,0,1,0
18939311,0,0,0,0,1,0,0,0
152322344,0,0,1,0,0,0,1,0
